CASEID,jsr_02,jsr_07,jsr_08,jsr_09,jsr_10,wdr_02,wdr_06,wdr_07,wdr_09,wdr_10,sfc_01,sfc_07,sfc_08,tmg_01,tmg_03
1,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
2,2,2,2,1,1,2,2,2,2,2,3,4,5,5,3
3,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
5,2,2,3,2,5,1,1,3,2,2,3,5,5,3,2
6,6,6,6,2,2,6,6,96,6,6,6,96,96,3,4
7,2,2,2,2,2,2,2,2,3,2,3,4,3,5,3
8,2,3,3,2,2,2,3,2,2,2,4,4,3,4,2
9,2,1,2,2,2,2,2,3,4,3,1,4,4,2,3
10,1,1,1,1,2,2,1,1,3,2,1,5,5,5,1
11,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
12,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
13,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
14,2,2,2,2,2,2,2,3,2,2,2,3,4,4,2
15,1,1,1,2,1,1,1,1,1,1,1,4,4,5,1
16,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
17,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
18,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
19,2,1,4,2,1,2,2,2,3,1,2,5,5,4,2
20,2,2,1,1,1,1,1,1,1,1,1,5,5,5,1
21,1,1,1,1,1,1,1,1,1,1,1,5,5,2,2
22,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
23,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
24,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
25,6,6,6,2,2,6,6,96,6,6,6,96,96,2,3
26,3,2,4,3,2,1,2,1,1,2,2,4,4,3,3
27,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
28,5,5,5,4,2,3,1,4,5,5,2,5,4,4,4
29,2,2,2,2,2,2,2,2,2,2,2,5,4,3,3
30,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
31,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
32,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
33,2,2,2,3,2,2,2,3,4,4,2,4,4,4,2
34,2,1,5,3,1,3,3,5,5,1,3,5,3,5,3
35,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
36,2,2,2,2,1,1,1,3,1,2,1,3,5,4,2
37,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
38,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
39,1,1,1,1,2,2,2,1,2,1,3,4,3,2,2
40,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
41,2,2,2,2,1,2,1,1,2,1,1,5,5,3,2
42,2,1,2,2,2,2,3,2,3,2,2,5,4,4,1
43,2,2,3,2,2,2,2,3,3,2,3,4,3,3,2
44,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
45,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
46,2,2,2,2,1,2,2,2,2,2,1,5,5,2,4
47,6,6,6,6,6,6,6,96,6,6,6,96,96,5,2
48,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
49,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
50,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
51,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
52,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
53,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
54,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
55,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
56,1,3,2,2,2,2,2,2,4,2,3,4,4,3,2
57,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
58,6,6,6,6,6,6,6,96,6,6,6,96,96,5,4
59,2,2,2,5,1,4,3,4,2,2,1,3,4,1,1
60,1,1,1,2,2,2,3,2,2,2,2,5,4,4,2
61,6,6,6,1,1,6,6,96,6,6,6,96,96,5,2
62,1,1,1,1,1,1,1,1,1,1,2,4,4,5,1
63,1,1,1,2,1,1,2,2,3,2,1,5,4,5,1
64,2,2,2,3,3,6,2,2,4,2,2,5,4,2,3
65,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
66,2,2,3,3,3,4,6,3,2,2,2,5,3,3,3
67,1,1,2,2,2,2,2,4,2,1,2,4,5,4,1
68,1,2,2,2,2,6,6,6,2,2,1,5,6,3,2
69,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
70,2,1,2,2,2,2,1,2,3,1,1,3,4,4,2
71,2,2,2,2,1,2,2,2,2,1,1,2,2,2,3
72,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
73,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
74,1,2,2,1,1,2,1,1,2,1,1,5,3,4,2
75,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
76,6,6,6,1,1,6,6,96,6,6,6,96,96,3,1
77,1,1,2,2,1,2,6,6,2,2,1,6,5,5,1
78,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
79,1,2,4,3,3,3,2,4,4,1,2,3,5,3,2
80,6,6,6,6,6,6,6,96,6,6,6,96,96,4,1
81,3,2,2,1,1,2,2,4,4,2,1,5,5,7,7
82,6,6,6,6,6,6,6,96,6,6,6,96,96,3,2
83,4,5,5,3,1,3,3,3,5,4,4,3,5,3,4
84,6,6,6,1,1,6,6,96,6,6,6,96,96,3,1
85,1,1,1,1,1,2,1,1,1,1,2,5,5,5,1
86,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
87,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
88,6,6,6,2,1,6,6,96,6,6,6,96,96,3,2
89,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
90,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
91,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
92,2,3,2,3,1,2,1,1,2,2,4,5,5,4,4
93,1,2,2,2,1,2,2,2,2,1,1,4,4,3,2
94,2,2,2,1,1,2,2,2,2,2,1,5,5,5,1
95,2,2,2,2,1,1,1,1,1,2,1,5,5,3,2
96,1,1,1,1,1,1,1,1,1,3,2,5,5,4,1
97,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
98,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
99,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
100,2,2,2,2,2,2,2,1,3,2,3,4,4,3,4
101,2,2,2,2,2,2,2,1,1,1,2,5,4,5,1
102,2,2,2,2,2,1,2,1,2,2,3,5,4,3,2
103,1,1,1,2,1,2,1,1,2,2,1,5,5,3,2
104,1,1,1,2,2,2,2,1,2,2,3,5,5,4,1
105,1,3,2,2,2,6,3,6,3,1,1,4,4,2,2
106,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
107,1,3,1,1,1,3,2,1,1,1,3,3,3,3,1
108,2,1,2,2,1,1,1,3,5,1,1,5,4,4,1
109,6,6,6,2,1,6,6,96,6,6,6,96,96,2,4
110,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
111,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
112,6,6,6,1,1,6,6,96,6,6,6,96,96,4,1
113,1,1,2,2,2,1,1,1,1,1,3,5,5,3,2
114,2,1,2,2,2,2,2,2,3,2,1,4,4,3,3
115,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
